course_id,total_comments,average_completion_rate,negative,positive,neutral,num_users
C_1017355,1574.0,0.7073466692150894,6.0,74.0,1494.0,9341
C_1017419,102.0,0.7913226623562915,0.0,5.0,97.0,534
C_1025064,227.0,0.8696920751083103,1.0,17.0,209.0,2521
C_1025076,1.0,0.5071257491892139,0.0,1.0,0.0,371
C_1025079,38.0,0.6761904761904761,6.0,10.0,22.0,1159
C_1073350,0.0,,0.0,0.0,0.0,84
C_1123814,1.0,,0.0,1.0,0.0,219
C_1123848,0.0,,0.0,0.0,0.0,429
C_1123944,0.0,0.5,0.0,0.0,0.0,810
C_1123979,12.0,0.4993945438212394,1.0,6.0,5.0,2338
C_1124039,0.0,0.0,0.0,0.0,0.0,220
C_1159827,10.0,0.8146364843411157,0.0,3.0,7.0,7464
C_1168774,0.0,,0.0,0.0,0.0,1
C_1168945,0.0,,0.0,0.0,0.0,1
C_1169292,0.0,,0.0,0.0,0.0,1
C_1169394,0.0,,0.0,0.0,0.0,1
C_1214863,0.0,,0.0,0.0,0.0,4027
C_1320505,0.0,,0.0,0.0,0.0,23
C_1328548,4.0,,1.0,1.0,2.0,68
C_1410076,0.0,0.5761904761904761,0.0,0.0,0.0,768
C_1410096,0.0,,0.0,0.0,0.0,179
C_1410106,0.0,,0.0,0.0,0.0,1980
C_1410117,15.0,0.5973675785271123,0.0,4.0,11.0,3047
C_1410126,1.0,0.8480731557743943,0.0,0.0,1.0,7456
C_1410145,1.0,0.4915789548142489,0.0,0.0,1.0,1651
C_1410156,10.0,,2.0,2.0,6.0,3238
C_1410371,14.0,0.6673311184939092,0.0,13.0,1.0,5167
C_1410386,0.0,0.3333333333333333,0.0,0.0,0.0,247
C_1412527,1.0,0.8870499419279907,0.0,1.0,0.0,2629
C_1428968,17.0,0.8254967638618396,1.0,4.0,12.0,23478
C_1429002,1.0,,0.0,0.0,1.0,10545
C_1429045,0.0,,0.0,0.0,0.0,1
C_1429102,4.0,0.6227474277025958,2.0,0.0,2.0,1241
C_1429234,0.0,,0.0,0.0,0.0,4342
C_1434547,0.0,0.8120593692022263,0.0,0.0,0.0,2109
C_1434593,134.0,0.7448211965273971,12.0,40.0,82.0,4700
C_1438319,4.0,0.7478234724490164,0.0,3.0,1.0,403
C_1438353,3.0,0.0735294117647058,0.0,1.0,2.0,547
C_1469181,21.0,0.6924255072645032,0.0,1.0,20.0,3934
C_1472684,0.0,0.7000260048191513,0.0,0.0,0.0,4585
C_1526890,14.0,0.5025803522072179,0.0,2.0,12.0,2228
C_1527362,4.0,0.6643461134453781,0.0,4.0,0.0,6437
C_1527407,1.0,0.6769230769230768,0.0,1.0,0.0,294
C_1527433,4.0,0.5150109092689509,0.0,0.0,4.0,3307
C_1527465,19.0,0.0,5.0,4.0,10.0,12208
C_1552662,39.0,0.7562690073485546,6.0,1.0,32.0,4276
C_1557390,0.0,0.0,0.0,0.0,0.0,141
C_1627979,4.0,,1.0,0.0,3.0,349
C_1628052,0.0,0.8347700645677151,0.0,0.0,0.0,167
C_1628160,40.0,,1.0,5.0,34.0,1016
C_1641647,4.0,0.75,0.0,0.0,4.0,1502
C_1641662,13965.0,0.8150935897932395,26.0,817.0,13122.0,3681
C_1641666,0.0,0.4972839506172839,0.0,0.0,0.0,204
C_1645365,0.0,0.6970779220779222,0.0,0.0,0.0,2591
C_1646044,1.0,0.8116228070175439,0.0,1.0,0.0,7177
C_1647264,7.0,0.7908104658803164,0.0,1.0,6.0,5604
C_1678971,2.0,,0.0,2.0,0.0,408
C_1679989,2.0,0.8064814814814816,0.0,0.0,2.0,4072
C_1682756,3.0,0.0,0.0,1.0,2.0,84
C_1682805,0.0,,0.0,0.0,0.0,21
C_1682833,6.0,,5.0,0.0,1.0,48
C_1683594,0.0,,0.0,0.0,0.0,44
C_1683791,0.0,,0.0,0.0,0.0,108
C_1686679,300.0,,2.0,1.0,297.0,1385
C_1686971,34.0,,0.0,18.0,16.0,910
C_1687717,0.0,0.4935436218282932,0.0,0.0,0.0,3246
C_1687727,0.0,0.646969696969697,0.0,0.0,0.0,63
C_1687739,0.0,,0.0,0.0,0.0,1
C_1691144,0.0,,0.0,0.0,0.0,28
C_1691397,0.0,0.6922809884187593,0.0,0.0,0.0,1930
C_1691403,0.0,0.5860389610389609,0.0,0.0,0.0,1930
C_1691410,0.0,0.6563025210084034,0.0,0.0,0.0,1930
C_1691412,2.0,0.561099160557365,1.0,1.0,0.0,1930
C_1691453,0.0,,0.0,0.0,0.0,86
C_1692685,0.0,,0.0,0.0,0.0,58
C_1693038,0.0,,0.0,0.0,0.0,66
C_1693369,0.0,,0.0,0.0,0.0,95
C_1696148,12.0,,0.0,9.0,3.0,304
C_1696155,709.0,0.6623398592653453,13.0,28.0,668.0,2166
C_1696158,0.0,1.0,0.0,0.0,0.0,262
C_1703785,0.0,,0.0,0.0,0.0,43
C_1704740,0.0,,0.0,0.0,0.0,10
C_1704755,0.0,,0.0,0.0,0.0,17
C_1704762,134.0,0.6855657973883463,21.0,13.0,100.0,1207
C_1706099,0.0,0.7408333333333333,0.0,0.0,0.0,345
C_1707044,0.0,,0.0,0.0,0.0,10
C_1710945,0.0,,0.0,0.0,0.0,6
C_1711775,0.0,,0.0,0.0,0.0,6
C_1711794,0.0,,0.0,0.0,0.0,5
C_1711852,0.0,,0.0,0.0,0.0,6
C_1711861,0.0,,0.0,0.0,0.0,15
C_1711946,1.0,,1.0,0.0,0.0,89
C_1711990,0.0,,0.0,0.0,0.0,41
C_1712048,0.0,,0.0,0.0,0.0,22
C_1712062,0.0,,0.0,0.0,0.0,1
C_1712434,4.0,,0.0,1.0,3.0,195
C_1712435,362.0,0.7773124078290778,2.0,11.0,349.0,1519
C_1714440,0.0,,0.0,0.0,0.0,318
C_1714441,0.0,,0.0,0.0,0.0,375
C_1714443,38.0,0.6500400160064026,0.0,13.0,25.0,6344
C_1714444,0.0,0.8000000000000002,0.0,0.0,0.0,333
C_1714446,0.0,,0.0,0.0,0.0,167
C_1714447,0.0,0.8493406676333042,0.0,0.0,0.0,5014
C_1714448,932.0,0.6171104399392874,5.0,66.0,861.0,4081
C_1714449,3.0,0.8367571856721965,2.0,0.0,1.0,1161
C_1718815,110.0,0.7369382362535831,6.0,11.0,93.0,6909
C_1719053,0.0,,0.0,0.0,0.0,6
C_1720764,116.0,,0.0,10.0,106.0,588
C_1721804,0.0,,0.0,0.0,0.0,1
C_1722652,0.0,,0.0,0.0,0.0,1
C_1722664,0.0,,0.0,0.0,0.0,1
C_1722698,0.0,,0.0,0.0,0.0,1
C_1722714,0.0,,0.0,0.0,0.0,1
C_1724279,0.0,0.5151611847488137,0.0,0.0,0.0,253
C_1724282,0.0,0.8680069930069929,0.0,0.0,0.0,260
C_1724283,0.0,0.8812230943659516,0.0,0.0,0.0,503
C_1724285,0.0,,0.0,0.0,0.0,786
C_1724286,0.0,,0.0,0.0,0.0,318
